text,trans,type
ストレイライトに所属しているサポートアイドルの絆が小アップします,Straylight所属Support偶像的绊小幅上升,
使用時プロデュースアイドルの体力が小回復します,使用时Produce偶像的体力小幅恢复,
使用時プロデュースアイドルのテンションが小アップします,使用时Produce偶像的心情小幅上升,
テンションアロマ,心情香薰,
使用時プロデュースアイドルのテンションが中アップします,使用时Produce偶像的心情中幅上升,
トラブル守り,事故护符,
親愛のお守り,亲密度护符,
プロデュース中の失敗＆大失敗で発生するデメリットを1回無効にします,Produce过程中免除1次失败&大失败造成的负面影响,
秘密のメモ帳,秘密的备忘本,
プロデュース中に発生するコミュの選択後の結果を見えるようにします,Produce过程中可以看到剧情对话选项的结果,
約束のコロン,约定古龙水,
プロデュース中の約束発生率を小アップします,Produce过程中约定发生率小幅上升,
アルバムの鍵,相册钥匙,
イベントコミュを解放できるアイテムです,可解锁活动剧情的道具,
アイドルコミュの鍵,偶像剧情钥匙,
アイドルコミュを解放できるアイテムです,可解锁偶像剧情的道具,
ボーカル基礎知識本,Vocal基础知识书,
プロデュース開始時にVocal＋30します,Produce开始时Vocal+30,
始まりのメッセージカード,初始的留言卡片,
プロデュース開始時に親愛度＋5します,Produce开始时亲密度+5,
ダンス基礎知識本,Dance基础知识书,
プロデュース開始時にDance＋30します,Produce开始时Dance+30,
モーニングコミュパン,晨间对话面包,
プロデュース中、シーズン１に限り朝コミュ発生率を小アップします,Produce过程中，仅第1季度的晨间对话发生率小幅上升,
ビジュアル基礎知識本,Visual基础知识书,
プロデュース開始時にVisual＋30します,Produce开始时Visual+30,
新・流行雑誌パッケージ,,
プロデュースアイドル応援パッケージ,,
アイドル育成応援パッケージ,,
最終シーズンの残り1週までの間に必ず1度「朝コミュ」が起こり、最初に「朝コミュ」か「約束」で親愛度が上昇した時「親愛度急上昇イベント」が必ず発生します,,
初夏の晴れやか記念 特別パッケージ,,
「初夏の晴れやか記念10連ガシャチケット×1」「初夏の晴れやか記念P-SRアイドル確定ガシャチケット×1」がついたお得なパッケージです,,
スマートフォンアプリ版＆PCブラウザ版\nリリース記念パッケージ,,
「スマホPC記念10連ガシャチケット×1」「スマホPC記念ユニット別SR以上確定ガシャチケット×2」「ゴールドトレーニングチケット×5」「秘密のメモ帳×20」がパッケージとなったお得な期間限定のセットです,,
初心者応援パッケージ Vol.5,,
「初心者応援10連ガシャチケットVol.5」1枚におまけとして「初心者応援SSR確定ガシャチケットVol.5」が1枚ついてくるお得なセットです,,
育成応援パッケージ Vol.14,,
「育成応援10連ガシャチケット Vol.14」1枚におまけとして「ゴールドトレーニングチケット」「シルバートレーニングチケット」「ブロンズトレーニングチケット」が各5枚ついてくるお得な期間限定のセットです,,
応援バラエティセットプレミアム,,
「約束のパルファム×3」「フェスエントリーチケット5×2」「ヒーリングフルーツタルト(3個入り)×2」「流行雑誌×5」がパッケージとなったお得な期間限定のセットです,,
応援バラエティセットスタンダード,,
「約束のパルファム×2」「フェスエントリーチケット5×1」「ヒーリングフルーツタルト×5」「流行雑誌×4」がパッケージとなったお得な期間限定のセットです,,
応援バラエティセットライト,,
「約束のトワレ×3」「フェスエントリーチケット×5」「ヒーリングフルーツタルト×3」「流行雑誌×2」がパッケージとなったお得な期間限定のセットです,,
リカバリーソーダMAX,恢复汽水MAX,
スタミナが最大量の同量回復します,恢复最大精力值同等的量,
フェスエントリーチケット5,Fes入场券5,
フェス参加権が5回復します,恢复5次Fes参加权,
SR以上確定ガシャが引けるチケットです,可抽取SR确定的抽卡券,
SSR特訓はづきさん,SSR特训叶月,
SSRのプロデュースアイドルを特訓します,用于特训SSR Produce偶像,
SSRのサポートアイドルを特訓します,用于特训SSR Support偶像,
SRのプロデュースアイドルを特訓します,用于特训SR Produce偶像,
SR特訓はづきさん,SR特训叶月,
SRのサポートアイドルを特訓します,用于特训SR Support偶像,
283くじ,283抽奖券,
283くじの抽選が受けれるチケットです。,参与283奖券抽选所用的票券,
お手製差し入れ,手工慰劳品,
2018SE@SONAL WINTERチケット,2018SE@SONAL WINTER券,
Exスキルスポイト,Ex技能针筒,
Exスキルを外す事ができるアイテムです,可卸除Ex技能的道具,
オーバーキャストモノクローム交換チケット,オーバーキャストモノクローム兑换券,
オーバーキャストモノクロームと交換できるチケットです,可兑换オーバーキャストモノクローム服装的券,
プチセレクションチケット,小型选择券,
集めるとチケット交換で特定のアイドルと交換できるチケットです,收集后可用于在兑换处兑换特定偶像的选择券,
はづきさんシール,叶月贴纸,
集めると特訓はづきさんと交換できるシールです,收集后可用于兑换特训叶月的贴纸,
フェス参加権が1回復します,恢复1次Fes参加权,
283プロのキーホルダー,283Pro的钥匙链,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が小アップします,Produce开始时队伍内全体Support偶像的绊小幅上升,
283プロのタオル,283Pro的毛巾,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が中アップします,Produce开始时队伍内全体Support偶像的绊中幅上升,
283プロのTシャツ,283pro的T恤,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が大アップします,Produce开始时队伍内全体Support偶像的绊大幅上升,
ネココのぬいぐるみ,Nekoko的玩偶,
トモモのぬいぐるみ,Tomomo的玩偶,
かっちゃんのぬいぐるみ,咔酱的玩偶,
1stアニバーサリーケーキ,1stAnniversary蛋糕,
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が小アップします,Produce开始时illumination STARS所属Support偶像的绊小幅上升,
イルミネーションスターズのTシャツ,illumination STARS的T恤,
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が大アップします,Produce开始时illumination STARS所属Support偶像的绊大幅上升,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が小アップします,Produce开始时L'Antica所属Support偶像的绊小幅上升,
アンティーカのTシャツ,L'Antica的T恤,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が大アップします,Produce开始时L'Antica所属Support偶像的绊大幅上升,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が小アップします,Produce开始时放课后Climax Girls所属Support偶像的绊小幅上升,
放課後クライマックスガールズのTシャツ,放课后Climax Girls的T恤,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が大アップします,Produce开始时放课后Climax Girls所属Support偶像的绊大幅上升,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が小アップします,Produce开始时ALSTROEMERIA所属Support偶像的绊小幅上升,
アルストロメリアのTシャツ,ALSTROEMERIA的T恤,
ストレイライトのTシャツ,Straylight的T恤,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が大アップします,Produce开始时ALSTROEMERIA所属Support偶像的绊大幅上升,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が小アップします,Produce开始时Straylight所属Support偶像的绊小幅上升,
ヒーリングタルト,治愈蛋挞,
ヒーリングフルーツタルト,治愈水果挞,
高級ヒーリングフルーツタルト,高级治愈水果挞,
プチテンションアロマ,小杯心情香薰,
プロデュース中の失敗＆大失敗で発生するデメリットを2回無効にします,Produce过程中免除2次失败&大失败造成的负面影响,
使用時サポートアイドルの配置をランダムで変更します,使用时Support偶像的分配随机变更,
約束のパルファム,约定香水,
プロデュース中の約束発生率を大アップします,Produce过程中约定发生率大幅上升,
ボーカル応用知識本,Vocal应用知识书,
プロデュース開始時にVocal＋60します,Produce开始时Vocal+60,
ダンス応用知識本,Dance应用知识书,
プロデュース開始時にDance＋60します,Produce开始时Dance+60,
ビジュアル応用知識本,Visual应用知识书,
プロデュース開始時にVisual＋60します,Produce开始时Visual+60,
メンタル基礎知識本,Mental基础知识书,
プロデュース開始時にメンタル＋30します,Produce开始时Mental+30,
スキル基礎知識本,Skill基础知识书,
プロデュース開始時にSP＋30します,Produce开始时SP+30,
283メモリーアルバム,283回忆相册,
プロデュース開始時に親愛度＋10します,Produce开始时亲密度+10,
こんがりモーニングコミュパン,晨间对话烤面包,
プロデュース中、シーズン１に限り朝コミュ発生率を中アップします,Produce过程中，仅第1季度的晨间对话发生率中幅上升,
スペシャルモーニングコミュパン,特级晨间对话面包,
プロデュース中、シーズン１に限り朝コミュ発生率を大アップします,Produce过程中，仅第1季度的晨间对话发生率大幅上升,
銅の羽根,铜色羽毛,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が極小アップします,Produce开始时队伍编成内全Support偶像的绊极小幅上升,
プロデュース開始時に編成している全サポートアイドルの絆が極小アップします,Produce开始时编成内全Support偶像的绊极小幅上升,
銀の羽根,银色羽毛,
プロデュース中の約束発生率を極小アップします,Produce过程中约定发生率极小幅上升,
金の羽根,金色羽毛,
プロデュース開始時に編成している全サポートアイドルの絆が極小アップし、プロデュース中の約束発生率を極小アップします,Produce开始时编成内全Support偶像的绊极小幅上升，Produce过程中约定发生率极小幅上升,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が極小アップし、プロデュース中の約束発生率を極小アップします,Produce开始时队伍编成内全Support偶像的绊极小幅上升，Produce过程中约定发生率极小幅上升,
プラチナの羽根,白金羽毛,
プロデュース開始時に編成している全サポートアイドルの絆が小アップし、プロデュース中の約束発生率を小アップします,Produce开始时编成内全Support偶像的绊小幅上升，Produce过程中约定发生率小幅上升,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が小アップし、プロデュース中の約束発生率を小アップします,Produce开始时队伍编成内全Support偶像的绊小幅上升，Produce过程中约定发生率小幅上升,
虹の羽根,虹色羽毛,
プロデュース開始時に編成している全サポートアイドルの絆が中アップし、プロデュース中の約束発生率を中アップします,Produce开始时编成内全Support偶像的绊中幅上升，Produce过程中约定发生率中幅上升,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が中アップし、プロデュース中の約束発生率を中アップします,Produce开始时队伍编成内全Support偶像的绊中幅上升，Produce过程中约定发生率中幅上升,
Visual流行雑誌,Visual流行杂志,
使用時流行1位をVisualに変更し、2位3位はランダムで変更します,使用时流行1位变更为Visual，2位3位随机变更,
Dance流行雑誌,Dance流行杂志,
使用時流行1位をDanceに変更し、2位3位はランダムで変更します,使用时流行1位变更为Dance，2位3位随机变更,
Vocal流行雑誌,Vocal流行杂志,
使用時流行1位をVocalに変更し、2位3位はランダムで変更します,使用时流行1位变更为Vocal，2位3位随机变更,
プロデュース中の失敗＆大失敗で発生するデメリットを3回無効にします【ファン感謝祭編：失敗＆大失敗発生時にもアイデアが埋まります】,Produce过程中免除3次失败&大失败造成的负面影响【粉丝感谢祭篇：失败&大失败发生时也能成功填写创想】,
プロデュース中の失敗＆大失敗で発生するデメリットを2回無効にします【ファン感謝祭編：失敗＆大失敗発生時にもアイデアが埋まります】,Produce过程中免除2次失败&大失败造成的负面影响【粉丝感谢祭篇：失败&大失败发生时也能成功填写创想】,
プロデュース中の失敗＆大失敗で発生するデメリットを1回無効にします【ファン感謝祭編：失敗＆大失敗発生時にもアイデアが埋まります】,Produce过程中免除1次失败&大失败造成的负面影响【粉丝感谢祭篇：失败&大失败发生时也能成功填写创想】,
使用時プロデュースアイドルの体力が大回復します,使用时Produce偶像的体力大幅恢复,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が大アップします,Produce开始时Straylight所属Support偶像的绊大幅上升,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が中アップします,Produce开始时Straylight所属Support偶像的绊中幅上升,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が中アップします,Produce开始时ALSTROEMERIA所属Support偶像的绊中幅上升,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,Produce开始时放课后Climax Girls所属Support偶像的绊中幅上升,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が中アップします,Produce开始时L'Antica所属Support偶像的绊中幅上升,
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が中アップします,Produce开始时illumination STARS所属Support偶像的绊中幅上升,
enzaマガジン応募キャンペーン10連ガシャチケット,,
enzaマガジン応募キャンペーン10連ガシャが引けるチケットです,,
Xmas10連ガシャチケット,,
Xmas10連ガシャが引けるチケットです,,
Xmasユニット別SSR確定ガシャチケット,,
Xmasユニット別SSR確定ガシャが引けるチケットです,,
育成応援10連ガシャチケットVol.9,,
育成応援10連ガシャVol.9が引けるチケットです,,
NewYearログインボーナス10連ガシャチケット,,
NewYear10連無料ガシャが引けるチケットです,,
ゆくくる10連ガシャチケット,,
ゆくくる10連ガシャが引けるチケットです,,
ゆくくるユニット別SR以上確定ガシャチケット,,
ゆくくるユニット別SR以上確定ガシャが引けるチケットです,,
正月10連ガシャチケット,,
正月10連ガシャが引けるチケットです,,
初心者ミッションS-SRアイドル確定ガシャチケット,,
初心者ミッションS-SRアイドル確定ガシャが引けるチケットです\nさらにSRのサポートアイドルを特訓できるアイテムも貰えます,,
初心者ミッションSSR20%Pアイドル確定ガシャチケット,,
初心者ミッションSSR20%Pアイドル確定ガシャが引けるチケットです,,
初心者ミッション10連ガシャチケット,,
初心者ミッション10連ガシャが引けるチケットです,,
育成応援10連ガシャチケットVol.10,,
育成応援10連ガシャVol.10が引けるチケットです,,
283記念10連ガシャチケット,,
283記念10連ガシャが引けるチケットです,,
バレンタイン記念SSRサポートアイドル確定ガシャチケット,,
バレンタイン記念SSRサポートアイドル確定ガシャが引けるチケットです,,
SE@SONALWINTERガシャチケット,,
SE@SONAWINTERガシャが引けるチケットです,,
バレンタイン記念10連ガシャチケット,,
バレンタイン記念10連ガシャが引けるチケットです,,
初心者応援10連ガシャチケットVol.4,,
初心者応援10連ガシャVol.4が引けるチケットです,,
初心者応援SSR確定ガシャチケットVol.4,,
初心者応援SSR確定ガシャVol.4が引けるチケットです,,
初心者応援10連ガシャチケットVol.5,,
初心者応援10連ガシャVol.5が引けるチケットです,,
初心者応援SSR確定ガシャチケットVol.5,,
初心者応援SSR確定ガシャVol.5が引けるチケットです,,
育成応援10連ガシャチケットVol.11,,
育成応援10連ガシャVol.11が引けるチケットです,,
育成応援10連ガシャチケットVol.12,,
育成応援10連ガシャVol.12が引けるチケットです,,
1st LIVE 10連ガシャチケット,,
1st LIVE 10連ガシャが引けるチケットです,,
1st LIVE SSR確定ガシャチケット,,
1st LIVE SSR確定ガシャが引けるチケットです,,
スマホPC記念10連ガシャチケット,,
スマホPC記念10連ガシャが引けるチケットです,,
スマホPC記念ユニット別SR以上確定ガシャチケット,,
スマホPC記念ユニット別SR以上確定ガシャが引けるチケットです,,
前夜祭10連ガシャチケット,,
前夜祭10連ガシャが引けるチケットです,,
前夜祭SSR確定ガシャチケット,,
前夜祭SSR確定ガシャが引けるチケットです,,
1st Anniversary10連ガシャチケット,,
1st Anniversary10連ガシャが引けるチケットです,,
1st Anniversaryユニット別10連ガシャチケット,,
1st Anniversaryユニット別10連ガシャが引けるチケットです,,
育成応援10連ガシャチケットVol.13,,
育成応援10連ガシャVol.13が引けるチケットです,,
1周年記念期間限定P-SSRアイドル確定ガシャチケット,,
1周年記念期間限定P-SSRアイドル確定ガシャが引けるチケットです,,
ユニット別SR以上確定ガシャチケット,,
ユニット別SR以上確定ガシャが引けるチケットです,,
セレクションチケットパッケージ10連ガシャチケット,,
セレクションチケットパッケージ10連ガシャが引けるチケットです,,
プロデューサーズカップ応援パッケージ10連ガシャチケット,,
プロデューサーズカップ応援パッケージ10連ガシャが引けるチケットです,,
MUSICカウントフリーサービス追加記念10連ガシャチケット,,
MUSICカウントフリーサービス追加記念10連ガシャが引けるチケットです,,
1st Anniversary10連ガシャチケット\nVol.2,,
1st Anniversary10連ガシャVol.2が引けるチケットです,,
1st Anniversaryユニット別SSR確定ガシャチケット,,
1st Anniversaryユニット別SSR確定ガシャが引けるチケットです,,
283くじ10連ガシャチケット,,
283くじ10連ガシャが引けるチケットです,,
育成応援10連ガシャチケットVol.14,,
育成応援10連ガシャVol.14が引けるチケットです,,
イルミネSR以上確定ガシャチケット,,
イルミネSR以上確定ガシャが引けるチケットです,,
アンティーカSR以上確定ガシャチケット,,
アンティーカSR以上確定ガシャが引けるチケットです,,
放クラSR以上確定ガシャチケット,,
放クラSR以上確定ガシャが引けるチケットです,,
アルストSR以上確定ガシャチケット,,
アルストSR以上確定ガシャが引けるチケットです,,
初夏の晴れやか記念10連ガシャチケット,,
初夏の晴れやか記念10連ガシャが引けるチケットです,,
初夏の晴れやか記念P-SRアイドル確定ガシャチケット,,
初夏の晴れやか記念P-SRアイドル確定ガシャが引けるチケットです,,
SSR7％ガシャチケット,,
SSR7％ガシャが引けるチケットです,,
SSR10％ガシャチケット,,
SSR10％ガシャが引けるチケットです,,
SSR15％ガシャチケット,,
SSR15％ガシャが引けるチケットです,,
1st Anniversary P-SRアイドル セレクションチケット,,
対象のSRプロデュースアイドルを選んで獲得できるチケットです,,
2nd Anniversary 283くじ,,
2nd Anniversary 283くじの抽選が受けれるチケットです。,,
サンセットスカイパッセージ衣装チケット,,
サンセットスカイパッセージと交換できるチケットです,,
[お1人様3個まで],[限1人3个],limit
[お1人様1個まで],[限1人1个],limit
[お1人様1つまで],[限1人1个],limit
[お1人様5つまで],[限1人5个],limit
[月5個まで購入可能],[每月可购入5个],limit
[月10個まで購入可能],[每月可购入10个],limit
[月25個まで購入可能],[每月可购入25个],limit
[月100個まで購入可能],[每月可购入100个],limit
[月3個まで購入可能],[每月可购入3个],limit
[月1個まで購入可能],[每月可购入1个],limit
[お1人様5個まで],[限1人5个],limit
[お1人様2つまで],[限1人2个],limit
[お1人様3つまで],[限1人2个],limit
[毎日1個まで購入可能],[每日可购入1个],limit
[毎日2個まで購入可能],[每日可购入2个],limit
[毎日3個まで購入可能],[每日可购入3个],limit
[毎日10個まで購入可能],[每日可购入10个],limit
2個入り,2个装,note
3個入り,3个装,note
2冊入り,2册装,note
3冊入り,3册装,note
プロデュース,Produce,note
サポート,Support,note
プロデュース中2回まで使用可能,Produce中可使用2次,note
プロデュース中3回まで使用可能,Produce中可使用3次,note
効果量は約束発生毎に減少し4回で効果がなくなる,每次触发约定后效果量减少，总共4回,note
