text,trans,type
プロデュース開始時に編成している全サポートアイドルの絆が$upします,Produce开始时编成内全Support偶像的绊$1,
プロデュース開始時に編成している全サポートアイドルの絆が$upし、,Produce开始时编成内全Support偶像的绊$1，,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が$upし、,Produce开始时队伍编成内全Support偶像的绊$1，
$noun流行雑誌,$1流行杂志,
使用時流行1位を$nounに変更し、2位3位はランダムで変更します,使用时流行1位变更为$1，2位3位随机变更,
プロデュース中の失敗＆大失敗で発生するデメリットを$num回無効にします【ファン感謝祭編：失敗＆大失敗発生時にもアイデアが埋まります】,Produce过程中免除$1次失败&大失败造成的负面影响【粉丝感谢祭篇：失败&大失败发生时也能成功填写创想】,
限定$unit入り10連ガシャチケット,$1限定10连抽卡券,
SSR$percentガシャチケット,SSR$1抽卡券,
SSR$percentガシャが引けるチケットです,$1概率获得SSR的抽卡券,
[お1人様$num個まで],[限1人$1个],
[月$num個まで],[限每月$1个],
[月$num個まで購入可能],[每月可购入$1个],
[毎日$num個まで購入可能],[每日可购入$1个],
$num個入り,$1个装,
$num冊入り,$1册装,
プロデュース中$num回まで使用可能,Produce中可使用$1次,
プロデュース中$num回まで使用可能,Produce中可使用$1次,
効果量は約束発生毎に減少し$num回で効果がなくなる,每次触发约定后效果量减少，总共$1回,
$num年$num月$num日$sepピックアップ$num倍$num連ガシャチケット,$1年$2月$3日PickUp$4倍$5连抽卡券,
$num年$num月$num日$sep通常ピックアップ$num連ガシャチケット,$1年$2月$3日PickUp普通$4连抽卡券,
$name・$nameガシャ$sepピックアップ$num倍$num連パッケージ,$1・$2PickUp$3倍$4连抽卡礼包,
$name・$nameガシャ$sep通常ピックアップ$num連パッケージ,$1・$2PickUp普通$3连抽卡礼包,
$num年$num月$num日$sep限定入りSSR確定ガシャチケット,$1年$2月$3日含限定SSR必得抽卡券,
$num年$num月$num日$sepSSRアイドル確定ガシャチケット,$1年$2月$3日SSR偶像必得抽卡券,
$num年$num月$num日$sep$num連ガシャチケット,$1年$2月$3日$4连抽卡券,
すでに所持している背景:$ukの代替アイテムです,代替已获得的背景:$1,
使用時流行全てをランダムで変更します,使用时流行全部随机变更,
使用時サポートアイドルの配置をランダムで変更します,使用时Support偶像的分配随机变更,
フェザージュエル×$num,羽石×$1,
SSR確定Plusガシャチケット,SSR必得抽卡券Plus,
限定SSR確定Plusガシャチケット,限定SSR必得抽卡券Plus,
SR以上確定ガシャチケット,SR以上抽卡券,
イベントミッションを$num個達成した報酬です,完成$1个活动任务获得的奖励,
フェスグレードLv$numの報酬です,排位Fes Lv$1的奖励,
スタンプカードによる報酬です,通过抽卡获取的集章卡奖励,text
大成功ボーナスの余剰Exp分です,大成功溢出的Exp,text
エンディング,Ending,text
Lv.50チケット,Lv.50训练券,text
[お1人様1つまで],[限1人1个],text
ホームユニットで設定できる背景です,可用于首页背景设置,text
SR以上のサポートアイドルをLv.50にするチケットです,可以将SR以上的Support偶像提升至Lv.50的训练券,text
【Lv.50以上のサポートアイドルには使えません】,【Lv.50以上的Support偶像无法使用】,text
限定復刻パッケージ,限定复刻礼包,text
使用時サポートアイドルの配置をランダムで変更します,使用时Support偶像的分配随机变更,text
約束のトワレ,约定淡香水,text
SSR確定ガシャチケット,SSR必得抽卡券,text
10連ガシャチケット,10连抽卡券,text
SSR確定ガシャが引けるチケットです,可必定获得SSR的抽卡券,text
SR以上確定ガシャが引けるチケットです,可必定获得SR及以上的抽卡券,text
スタミナが最大量の1/2回復します,恢复最大精力值的1/2,text
スタミナが最大量の1/4回復します,恢复最大精力值的1/4,text
スタミナが最大量の同量回復します,恢复最大精力值同等的量,text
フェスエントリーチケット,Fes入场券,text
フェス参加権が回復します,恢复1次Fes参加权,text
ゴールドトレーニングチケット,黄金训练券,text
プラチナトレーニングチケット,白金训练券,text
サポートアイドルのトレーニングに必要なチケットです,Support偶像训练所必需的券,text
シルバートレーニングチケット,白银训练券,text
ブロンズトレーニングチケット,青铜训练券,text
プロデュース中の失敗＆大失敗で発生するデメリットを1回無効にします,Produce过程中免除1次失败&大失败造成的负面影响,text
秘密のメモ帳,秘密的备忘本,text
プロデュース中に発生するコミュの選択後の結果を見えるようにします,Produce过程中可以看到剧情对话选项的结果,text
約束のコロン,约定古龙水,text
アルバムの鍵,相册钥匙,text
イベントコミュを解放できるアイテムです,可解锁活动剧情的道具,text
アイドルコミュの鍵,偶像剧情钥匙,text
アイドルコミュを解放できるアイテムです,可解锁偶像剧情的道具,text
始まりのメッセージカード,初始的留言卡片,text
金色のメッセージカード,金色的留言卡片,text
モーニングコミュパン,晨间对话面包,text
フェスエントリーチケット5,Fes入场券5,text
フェス参加権が5回復します,恢复5次Fes参加权,text
SSRのプロデュースアイドルを特訓します,用于特训SSR Produce偶像,text
SSRのサポートアイドルを特訓します,用于特训SSR Support偶像,text
SRのプロデュースアイドルを特訓します,用于特训SR Produce偶像,text
SRのサポートアイドルを特訓します,用于特训SR Support偶像,text
283くじ,283抽奖券,text
283くじの抽選が受けれるチケットです。,参与283奖券抽选所用的票券,text
お手製差し入れ,手工慰劳品,text
2018SE@SONAL WINTERチケット,2018SE@SONAL WINTER券,text
Exスキルスポイト,Ex技能针筒,text
Exスキルを外す事ができるアイテムです,可卸除Ex技能的道具,text
オーバーキャストモノクローム交換チケット,オーバーキャストモノクローム兑换券,text
オーバーキャストモノクロームと交換できるチケットです,可兑换オーバーキャストモノクローム服装的券,text
集めるとチケット交換で特定のアイドルと交換できるチケットです,收集后可用于在兑换处兑换特定偶像的选择券,text
はづきさんシール,叶月贴纸,text
集めると特訓はづきさんと交換できるシールです,收集后可用于兑换特训叶月的贴纸,text
フェス参加権が1回復します,恢复1次Fes参加权,text
ネココのぬいぐるみ,Nekoko的玩偶,text
トモモのぬいぐるみ,Tomomo的玩偶,text
かっちゃんのぬいぐるみ,咔酱的玩偶,text
プロデュース中の失敗＆大失敗で発生するデメリットを2回無効にします,Produce过程中免除2次失败&大失败造成的负面影响,text
約束のパルファム,约定香水,text
283メモリーアルバム,283回忆相册,text
こんがりモーニングコミュパン,晨间对话烤面包,text
スペシャルモーニングコミュパン,特级晨间对话面包,text
銅の羽根,铜色羽毛,text
銀の羽根,银色羽毛,text
金の羽根,金色羽毛,text
プラチナの羽根,白金羽毛,text
虹の羽根,虹色羽毛,text
