text,trans,type
幽谷霧子,幽谷雾子,name
小宮果穂,小宫果穗,name
園田智代子,园田智代子,name
西城樹里,西城树里,name
杜野凛世,杜野凛世,name
有栖川夏葉,有栖川夏叶,name
大崎甘奈,大崎甘奈,name
大崎甜花,大崎甜花,name
桑山千雪,桑山千雪,name
芹沢あさひ,芹泽朝日,name
黛冬優子,黛冬优子,name
和泉愛依,和泉爱依,name
フェス,Fes,noun
フェスリハーサル,Fes彩排,noun
グレードフェス,排位Fes,noun
リンクアピール,Link Appeal,noun
パーフェクト,Perfect,noun
がっちりアピール,がっちりアピール,noun
トップアピール,Top Appeal,noun
ラストアピール,Last Appeal,noun
プロ根性,Pro根性,noun
NORMAL,NORMAL,noun
HARD,HARD,noun
VERYHARD,VERYHARD,noun
審査員,审查员,noun
イルミネーションスターズ,illuminationSTARS,noun
放課後クライマックスガールズ,放课后ClimaxGirls,noun
アンティーカ,L'Antica,noun
アルストロメリア,ALSTROEMERIA,noun
ストレイライト,Straylight,noun
完全掌握,完全掌握,noun
フェスマスター,Fes Master,noun
パーフェクトライブ,Perfect Live,noun
伝説の一瞬,传说的一瞬,noun
ランクD,Rank D,noun
ランクC,Rank C,noun
ランクB,Rank B,noun
ランクA,Rank A,noun
ランクS,Rank S,noun
W.I.N.G.編,W.I.N.G.篇,note
ファン感謝祭編,粉丝感谢祭篇,note
高難易度,高难度,note
期間限定,期间限定,note
白いツバサ,白いツバサ,note
$nounに$num回参加しよう,参加$2次$1,exp
営業を$num回しよう,进行$1次营业,exp
フェス参加権が$num回復します,恢复$1次Fes参加权,exp
$nounを$num回プレイしよう,进行$2次$1,exp
フェスアイドルを$num人誕生させよう,培育出$1名Fes偶像,exp
$nounに参加して、$nounを達成しよう,参加$1并达成$2,exp
「$noun」：条件を満たすことで発動できる特別なスキル,「$1」：满足条件才能发动的特殊技能,exp
$nounに参加して、$nounを$num回達成しよう,参加$1并达成$3次$2,exp
「$noun」：アピールメーターを$nounの位置で止める,「$1」：击中打击条的$2处,exp
「$noun」：$num人の$nounから$nounと$nounを獲得する,「$1」：从$2名$3处同时获得$4与$5,exp
$noun以上の$nounに参加して、$nounを$num回達成しよう,参加$1以上的$2并达成$4次$3,exp
$nounに参加して、$num位になろう,参加$1并取得第$2位,exp
$noun以上の$nounに参加して、$num位になろう,参加$1以上的$2并取得第$3位,exp
$nounの$nounに参加して、$num位になろう,参加$1的$2并取得第$3位,exp
【$note】$nounの$nounに参加して、$num位に$num回なろう,【$1】参加$2的$3并取得$5次第$4位,exp
$nounの$nounに参加して、$num位以上になろう,参加$1的$2并取得第$3位及以上,exp
$noun全員を編成して、$noun以上の$nounに参加しよう,$1全员编成，参加$2以上的$3,exp
$noun全員を編成して、$noun以上の$nounに$num回参加しよう,$1全员编成，参加$4次$2以上的$3,exp
$noun全員を編成して、$nounで$num位になろう,$1全员编成，在$2中取得第$3位,exp
$noun全員を編成して、$nounで$num位に$num回なろう,$1全员编成，在$2中取得$4次第$3位,exp
$noun全員を編成して、$noun以上の$nounで$num位になろう,$1全员编成，参加$2以上的$3并取得第$4位,exp
$noun全員を編成して、$noun以上の$nounで$nounを達成しよう,$1全员编成，参加$2以上的$3并达成$4,exp
$noun全員を編成して、$noun以上の$nounで$nounを$num回達成しよう,$1全员编成，参加$2以上的$3并达成$5次$4,exp
【$note】$noun全員を編成して、$nounの$nounで$num位になろう,【$1】$2全员编成，在$3的$4中取得第$5位,exp
$nameのファンを累計で$num人獲得しよう,$1累计获得粉丝数$2人,exp
$nameのファンを累計で$num万人獲得しよう,$1累计获得粉丝数$2万人,exp
$nameのファンを累計で$num億人獲得しよう,$1累计获得粉丝数$2亿人,exp
ファンを累計で$num人獲得しよう,累计获得粉丝数$1人,exp
ファンを累計で$num万人獲得しよう,累计获得粉丝数$1万人,exp
ファンを累計で$num億人獲得しよう,累计获得粉丝数$1亿人,exp
$nameの思い出レベルを$numにしよう,$1的回忆等级达到$2,exp
$nounで$num回勝利しよう,$1中取得$2次胜利,exp
$nounで$nounを達成しよう,$1中达成$2,exp
「$noun」：$nounボーナスを獲得する,「$1」：获得$2加分,exp
$nounで$nounを$num回達成しよう,$1中达成$3次$2,exp
$nounをプレイしよう,进行1次$1,exp
$nounで勝利しよう,$1中取得1次胜利,exp
天井社長からの指令$num,天井社长的指令$1,exp
$nounのメンバーを全員入れたデッキでフェスアイドルを誕生させよう,使用包含$1全员的卡组培育出Fes偶像,exp
シーズン$numをクリアしよう,通过第$1季度,exp
$nameのフェスアイドルを誕生させよう,培育$1成为Fes偶像,exp
グレードLv$numに昇格しよう,升格至等级Lv$1,exp
センターに$nameを編成して、$noun以上の$nounに参加して「$noun」を達成しよう,$1Center位编成，参加$2以上的$3并达成「$4」,exp
$nameのユニットで、強力なライバルに対して\n「$noun」を達成した証,使用$1队伍，对抗强力对手达成「$2」之证,exp
$nameのTrueEndを見よう,达成$1的TrueEnd,exp
【$unknown】$nameのTrueEndを見よう,达成【$1】$2的TrueEnd,exp
$nameの「$noun」「$noun」「$noun」を全てクリアしよう,达成$1所有的「$2」「$3」「$4」,exp
$noun以上のフェスアイドルを誕生させよう,培育出$1以上的Fes偶像,exp
センターに$nameを編成し$noun以上の$nounに参加して「$noun」を達成しよう,$1Center位编成，参加$2以上的$3并达成「$4」,exp
グレードLv$numに昇格しよう,升格至等级Lv$1,exp
$nameをプロデュースしてシーズン$numをクリアしよう,培育$1并通过第$2季度,exp
$nameプロデュースしてシーズン$numをクリアしよう,培育$1并通过第$2季度,exp
$nameをプロデュースしてW.I.N.G.決勝に進出しよう,培育$1并进入W.I.N.G.决赛,exp
【$unknown】$nameをプロデュースしてシーズン$numをクリアしよう,培育【$1】$2并通过第$3季度,exp
【$unknown】$nameを編成してシーズン$numをクリアしよう,编成【$1】$2并通过第$3季度,exp
シーズン$numのオーディションすべてに合格しよう,第$1季度所有试镜取得合格,exp
シーズン$num開催のオーディション「$noun」に合格しよう,第$1季度「$2」试镜取得合格,exp
シーズン$num開催の特別オーディション「$noun」に合格しよう,第$1季度「$2」特殊试镜取得合格,exp
難易度$numのアイデアノートを$num回コンプリートしよう,完成$2次难易度$1的创想笔记,exp
$nounの誰か一人をプロデュースして$noun以上のフェスアイドルを誕生させよう,培育出$1任意一人$2以上的Fes偶像,exp
【$note】シーズン$num開催のオーディション「$unknown」に合格しよう,【$1】第$2季度「$3」试镜取得合格,exp
【$note】シーズン$num開催の特別オーディション「$unknown」に合格しよう,【$1】第$2季度「$3」特殊试镜取得合格,exp
【$note】ファン感謝祭をクリアしよう,【$1】通过粉丝感谢祭,exp
【$note】ファン感謝祭でMVPを1回取ろう,【$1】在粉丝感谢祭中取得1次MVP,exp
【$note】$noun以上の$nounに参加して、「$noun」を達成しよう,【$1】参加$2以上的$3并达成「$4」,exp
累計$numポイント達成,累计点数达到$1,exp
$num周目クリア,通过第$1周目,exp
最高スコア$num達成,最高分数达到$1,exp
トークイベントに出演などでSPを累計$num以上獲得しよう,通过参加访谈节目获得$1以上的SP,exp
ラジオの収録などでメンタルを$num以上にしよう,通过广播收录将Mental提高到$1以上,exp
ラジオの収録やトークイベントに出演などでファン数を$num人以上獲得しよう,通过广播收录或参加访谈节目获得$1人以上的粉丝数,exp
トークイベントに出演などでSPを累計$num以上にしよう,通过参加访谈节目使SP累计超过200,exp
$ukを$num以上にしよう,$1达到$2以上,exp
「$uk」に$num回合格しよう,「$1」合格$2次,exp
ファン数を累計$num万人以上獲得しよう,累计获得$1万粉丝数,exp
イベントミッションを$num個達成しよう,完成$1个活动任务,exp
営業を$num回完了しよう,完成$1次营业,exp
振り返りでスキルを習得してみよう,在技能面板中学习技能,text
