text,trans,type
完全掌握,完全掌握,noun
フェスマスター,Fes Master,noun
パーフェクトライブ,Perfect Live,noun
伝説の一瞬,传说的一瞬,noun
Vocal,Vocal,noun
Dance,Dance,noun
Visual,Visual,noun
ランクF,Rank F,rank
ランクE,Rank E,rank
ランクD,Rank D,rank
ランクC,Rank C,rank
ランクB,Rank B,rank
ランクA,Rank A,rank
ランクS,Rank S,rank
Fランク,F Rank,rank
Eランク,E Rank,rank
Dランク,D Rank,rank
Cランク,C Rank,rank
Bランク,B Rank,rank
Aランク,A Rank,rank
Sランク,S Rank,rank
グレード,段位,noun
W.I.N.G.編,W.I.N.G.篇,note
ファン感謝祭編,粉丝感谢祭篇,note
G.R.A.D.編,G.R.A.D.篇,note
LandingPoint編,LandingPoint篇,note
S.T.E.P.編,S.T.E.P.篇,note
高難易度,高难度,note
期間限定,期间限定,note
白いツバサ,白色之翼,note
アイドルロード,偶像之路,note
W.I.N.G.,W.I.N.G.,produce
G.R.A.D.,G.R.A.D.,produce
ファン感謝祭,粉丝感谢祭,produce
LandingPoint,LandingPoint,produce
S.T.E.P.,S.T.E.P.,produce
【$note】,【$1】,
シーズン$numを$num回クリアしよう,通过$2次第$1季度,
$produce決勝に$num回進出しよう,进入$2次$1决赛,
$produceを優勝しよう,在$1中取得优胜,
$produceを$num回優勝しよう,在$1中取得$2次优胜,
$produceを$num回クリアしよう,通过$2次$1,
$produceをクリアしよう,通过$1,
WINGを$nameで優勝する,$1在WING中取得优胜,
フェスリハ$ukをクリア,通过$1的Fes彩排,
最高到達グレードが$num,到达的最高Fes等级为G$1,
感謝祭でMVPを$nameで取る,$1取得感谢祭的MVP,
GRADで$nameが優勝する,$1在GRAD取得优胜,
LPで大成功を$nameで取る,$1在LP中取得大成功,
全国制覇を$1回成し遂げる,赢得$1次全国冠军,
グレ$num,G$1,
フェスリハ$uk,Fes彩排$1,
いずれかのアイドルのTrueEndを$num回見よう,达成$1次任意偶像的TrueEnd,
LandingPointのライブを$num回大成功させよう,LandingPoint的Live取得$1次大成功,
ゲームにログインしよう,登录到游戏,
$nounに$num回参加しよう,参加$2次$1,
営業を$num回しよう,进行$1次营业,
フェス参加権が$num回復します,恢复$1次Fes参加权,
$nounを$num回プレイしよう,进行$2次$1,
フェスアイドルを$num人誕生させよう,培育出$1名Fes偶像,
$nounに参加して$sep$nounを達成しよう,参加$1并达成$2,
「$noun」：条件を満たすことで発動できる特別なスキル,「$1」：满足条件才能发动的特殊技能,
$nounに参加して、$nounを$num回達成しよう,参加$1并达成$3次$2,
「$noun」：アピールメunit$nounの位置で止める,「$1」：击中打击条的$2处,
「$noun」：$num人の$nounから$nounと$nounを獲得する,「$1」：从$2名$3处同时获得$4与$5,
$rank以上の$nounに参加して、$nounを$num回達成しよう,参加$1以上的$2并达成$4次$3,
$nounに参加して、$num位になろう,参加$1并取得第$2位,
$rankの$nounに参加して、$num位になろう,参加$1的$2并取得第$3位,
$rankの$nounに参加して、$num位に$num回なろう,参加$1的$2并取得$4次第$3位,
$rankの$nounに参加して、$num位以上になろう,参加$1的$2并取得第$3位及以上,
$rankの$nounで$num位になろう,在$1的$2中取得第$3位,
$rankの$nounに参加して、$nounを達成しよう,参加$1的$2并达成$3,
$rankの$nounに参加して、$num位以上に$num回なろう,参加$1的$2并取得第$4次$3位及以上,
$rank以上の$nounに参加して、$num位に$num回なろう,参加$1以上的$2并取得$4次第$3位,
$rank以上の$nounに参加しよう,参加$1以上的$2,
$rank以上の$noun$sep$num位になろう,参加$1以上的$2并取得第$3位,
$noun$num以上の$nounに$num回参加しよう,参加$4次$1$2以上的$3,
$unit全員を編成して、,$1全员编成，,
$rank以上の$nounに$num回参加しよう,参加$3次$1以上的$2,
$nounで$num位になろう,在$1中取得第$2位,
$nounで$num位に$num回なろう,在$1中取得$3次第$2位,
$rank以上の$nounで$nounを達成しよう,参加$1以上的$2并达成$3,
$rank以上の$nounで$nounを$num回達成しよう,参加$1以上的$2并达成$4次$3,
$rank以上の$nounで$num位に$num回なろう,参加$1以上的$2并取得$4次$3位,
$rankの$nounで$num位に$num回なろう,参加$1的$2并取得$4次$3位,
Rのサポートアイドルのみを編成してファン感謝祭でMVPを$num回取ろう,使用只有R Support偶像的队伍在粉丝感谢祭中取得$1次MVP,
Rのサポートアイドルのみを編成していずれかのアイドルのTrueEndを見よう,使用只有R Support偶像的队伍达成任意一名偶像的TrueEnd,
Rのサポートアイドルのみを編成してG.R.A.D.を優勝しよう,使用只有R Support偶像的队伍在G.R.A.D.中取得优胜,
$nameのファンを累計で$num人獲得しよう,$1累计获得粉丝数$2人,
ファンを累計で$num人獲得しよう,累计获得粉丝数$1人,
$nameの思い出レベルを$numにしよう,$1的回忆等级达到$2,
$nounで$num回勝利しよう,$1中取得$2次胜利,
$nounで勝利しよう,$1中取得1次胜利,
$nounで$nounを達成しよう,$1中达成$2,
「$noun」：$nounボーナスを獲得する,「$1」：获得$2加分,
$nounで$nounを$num回達成しよう,$1中达成$3次$2,
$nounをプレイしよう,进行1次$1,
天井社長からの指令$num,天井社长的指令$1,
$unit$ukメンバーを全員入れたデッキでフェスアイドルを誕生させよう,使用包含$1全员的卡组培育出Fes偶像,
シーズン$numをクリアしよう,通过第$1季度,
$nameのフェスアイドルを誕生させよう,培育$1成为Fes偶像,
グレードLv$numに昇格しよう,等级晋升至Lv$1,
$nameのユニットで、強力なライバルに対して\n「$noun」を達成した証,使用$1队伍，对抗强力对手达成「$2」之证,
$nameのTrueEndを見よう,达成$1的TrueEnd,
【$uk】$nameのTrueEndを見よう,达成【$1】$2的TrueEnd,
$nameの「$noun」「$noun」「$noun」を全てクリアしよう,达成$1所有的「$2」「$3」「$4」,
$rank以上のフェスアイドルを誕生させよう,培育出$1以上的Fes偶像,
$rank以上のフェスアイドルを$num人誕生させよう,培育出$2名$1以上的Fes偶像,
センターに$nameを編成$uk$rank以上の$nounに参加して「$noun」を達成しよう,$1Center位编成，参加$3以上的$4并达成「$5」,
グレードLv$numに昇格しよう,等级晋升至Lv$1,
$name$ukプロデュースしてシーズン$numをクリアしよう,培育$1并通过第$3季度,
$nameをプロデュースしてW.I.N.G.決勝に進出しよう,培育$1并进入W.I.N.G.决赛,
【$uk】$nameをプロデュースして$sepシーズン$numをクリアしよう,培育【$1】$2并通过第$3季度,
【$uk】$nameを編成して$sepシーズン$numを$sepクリアしよう,编成【$1】$2并通过第$3季度,
シーズン$numのオーディションすべてに合格しよう,第$1季度所有试镜取得合格,
シーズン$num開催のオーディション「$uk」に$num回合格しよう,第$1季度「$2」试镜取得$3次合格,
シーズン$num開催の特別オーディション「$uk」に$num回合格しよう,第$1季度「$2」特殊试镜取得$3次合格,
シーズン$num開催のオーディション「$uk」に合格しよう,第$1季度「$2」试镜取得合格,
シーズン$num開催の特別オーディション「$uk」に合格しよう,第$1季度「$2」特殊试镜取得合格,
難易度$numのアイデアノートを$num回コンプリートしよう,完成$2次难度$1的创想笔记,
難易度$num以上のアイデアノートを$num回コンプリートしよう,完成$2次难度$1以上的创想笔记,
$unitの誰か$uk人をプロデュースして$rank以上のフェスアイドルを誕生させよう,培育$1任意$2人成为$3以上的Fes偶像,
ファン感謝祭でMVPを$num回取ろう,在粉丝感谢祭中取得$1次MVP,
$rank$ukの$nounに参加して、「$noun」を達成しよう,参加$1$2的$3并达成「$4」,
$rank$ukの$nounに参加して、「$noun」を$num回達成しよう,参加$1$2的$3并达成$5次「$4」,
累計$num$num$numポイント達成,累计点数达到$1$2$3,
$num$num周目クリア,通过第$1$2周目,
最高スコア$num$num達成,最高分数达到$1$2,
トークイベントに出演などでSPを累計$num以上獲得しよう,通过参加访谈节目获得$1以上的SP,
ラジオの収録などでメンタルを$num以上にしよう,通过广播收录将Mental提高到$1以上,
ラジオの収録やトークイベントに出演などでファン数を$num人以上獲得しよう,通过广播收录或参加访谈节目获得$1人以上的粉丝数,
トークイベントに出演などでSPを累計$num以上にしよう,通过参加访谈节目使SP累计超过$1,
メンタルを$numにしよう,Mental达到$1,
オーディションに参加してファン数を累計$1人以上獲得しよう,通过参加试镜累计获得$1以上的粉丝数,
$ukを$num以上にしよう,$1达到$2以上,
「$uk」に$num回合格しよう,「$1」合格$2次,
ファン数を累計$num人以上獲得しよう,累计获得$1以上的粉丝数,
イベントミッションを$num個達成しよう,完成$1个活动任务,
営業を$num回完了しよう,完成$1次营业,
【$uk】$name,【$1】$2,
W.I.N.G.$sepのプロデュースで$noun$sep$num以上のフェスアイドルを$num$sep誕生させよう,参加W.I.N.G.并培育出$3名$1$2以上的Fes偶像,
$unitの誰か一人をプロデュースして$rank以上のフェスアイドルを$num人誕生させよう,从$1里培育出任意$3名$2以上的Fes偶像,
$unitの誰か一人をプロデュースして$rank以上のフェスアイドルを誕生させよう,培育$1任意一人成为$2以上的Fes偶像,
サポートアイドル$num人をLv.$num以上にしよう,将$1个Support偶像提升至Lv.$2以上,
トレーニングで【$uk】$nameをLv.$numにしよう,训练【$1】$2至Lv.$3,
【$uk】$nameを編成しよう,编成【$1】$2,
【$uk】$nameを最大まで特訓しよう,特训【$1】$2至最终阶段,
$nameを$num回プロデュースしよう,培育$2次$1,
$nameを$rank以上のフェスアイドルにしよう,培育$1成为$2以上的Fes偶像,
$nameをプロデュースして、$uk.$num以上のフェスアイドルにしよう,培育$1成为$2.$3以上的Fes偶像,
$nameをホームユニットに編成しよう,将$1编入主页面队伍,
$nameの信頼度を$num以上にしよう,$1的信赖度提升至$2以上,
$nameをプロデュースして$num人のファン数を獲得しよう,培育$1并获得$2粉丝数,
$nameを含めた編成で営業を$num回しよう,$1进行$2次营业,
$nameをセンターに編成して、グレード$num以上のフェスに$num回参加しよう,$1Center位编成，参加$3次等级$2以上的排位Fes,
$nameの思い出レベルを$num以上にしよう,$1的回忆等级达到$2以上,
予選オーディションに合格しよう,预选试镜取得合格,
予選オーディションに$num回合格しよう,预选试镜取得$1次合格,
ブロックの満足度を総合$percent以上にしよう,区域满足度总和达到$1以上,
アビリティを$num個獲得しよう,获得$1个能力,
$nameの$ukサポートアイドルです,$1的$2 Support偶像,
$nameの$ukアイドルです,$1的$2偶像,
$note $name,$1 $2,
$nameアイドルロードを最大まで進行した証,$1偶像之路抵达终点的证明,
サマーキャンペーン$num特別ミッションを全てクリアしよう,完成所有$1夏日活动特别任务,
サマーキャンペーン$num特別ミッションを$num個クリアしよう,完成$2个$1夏日活动特别任务,
【第$num弾】,【第$1弹】,
リサイクルショップで交換しよう,在回收商店进行兑换,
Lv.$num以上のサポートアイドル$num人を編成しよう,队伍中编入$2个Lv.$1以上的Support偶像,
思い出レベルを$num以上にしてW.I.N.G.に出場しよう,回忆等级达到$1以上参加W.I.N.G.,
$nounが流行$num位のときにW.I.N.G.準決勝に勝利しよう,当$1为流行$2位时取得W.I.N.G.准决赛胜利,
$nounが流行$num位のときにW.I.N.G.決勝に勝利しよう,当$1为流行$2位时取得W.I.N.G.决赛胜利,
グレード$num以上のグレードフェスに参加して、$num位に$num回なろう,参加等级$1以上的排位Fes并取得$3次第$2位,
期間中に$nameのファン人数を$num人獲得しよう,$1在期限内获得$2粉丝数,
SRアイドルのみを編成しシーズン$num開催のオーディション「$uk」に合格しよう,使用只含有SR偶像的队伍参加第$1季度「$2」试镜取得合格,
$ukのアイドルのみをサポートに編成した【$note】$nameをプロデュースして$rank以上のフェスアイドルを誕生させよう,使用只含有带$1前缀的Support偶像队伍培育【$2】$3成为$4以上的Fes偶像,
天井社長の$ukの宿題を全てクリアしよう,完成天井社长全部的$1季课题,
$nameでLandingPointのライブを大成功させよう,$1在LandingPoint的Live取得大成功,
LandingPoint編$unit追加記念ミッションを全てクリアしよう,完成全部的LandingPoint篇$1追加纪念任务,
$unitの誰か一人で$produceをクリアしよう,$1的任意一人通过$2,
$nounに参加して、$num位に$num回なろう,参加$1并取得$3次第$2位,
いずれかのアイドルをプロデュースして、$uk以上のフェスアイドルを誕生させよう,培育出一名$1以上的Fes偶像,
いずれかのアイドルをプロデュースして、$uk以上のフェスアイドルを$num人誕生させよう,培育出$2名$1以上的Fes偶像,
$nameをプロデュースして$rank以上のフェスアイドルにしよう,培育$1成为$2以上的Fes偶像,
グレードフェスに参加して、スターを累計$num個獲得しよう,参加排位Fes累计获得$1个星星,
【グレードLv.$num】,【Grade Lv.$1】,
プロデューサーLvを$numにしよう,制作人等级到达Lv$1,
$unitの誰か一人でアイドル$rank以上を達成してフェスアイドルを$num人誕生させよう,从$1中培育出$3名$2以上的Fes偶像,
$nameでアイドル$rank以上を達成してフェスアイドルにしよう,培育$1成为$2以上的Fes偶像,
エリア$numのステージすべてに勝利しよう,在区域$1的所有舞台取得胜利,
エリア$numの達成度を$percentにしよう,区域$1的完成度到达$2,
ステージ$numで勝利する,在舞台$1取得胜利,
スコア$num以上達成,获得$1以上的分数,
ステージ勝利数が$num以上,舞台获胜超过$1次,
完全勝利回数が$num以上,完全胜利超过$1次,
$uk特別ミッションを全て達成しよう,完成所有$1的特别任务,
$nounまたは$nounに参加して、$nounを$num回達成しよう,参加$1或$2并达成$4次$3,
$nounまたは$nounに参加して、$num位に$num回なろう,参加$1或$2并取得$4次第$3位,
$nounまたは$nounに参加して、$nounを$num回発動しよう,参加$1或$2并发动$4次$3,
いずれかのステータスが$num以上のフェスアイドルを$num人誕生させよう,培育出$2名属性值$1以上的Fes偶像,
振り返りでスキルを習得してみよう,在技能面板中学习技能,text
初心者ミッションを進めるプロデュースアイドルを選択しよう,请选择进行新手任务的Produce偶像,text
初心者ミッションでプロデュースのコツを掴んでいってくださいね～,请在新手任务中掌握培育偶像的诀窍吧～,text
アイドルは特訓をすることで、強力なスキルを覚えられるようになります～,偶像通过特训，可以学到强力的技能～,text
アイドルを特訓すると新しいスキルが覚えられます♪特訓には、「同じイラストのアイドルで特訓」と「特訓はづきさんで特訓」の二つの方法がありますよ～,偶像经过特训后可学习新的技能♪而特训，则有“同名卡偶像特训”和“特训叶月特训”两种方法可以选择哦～,text
編成のチュートリアルを見よう,查看编成教学吧,text
編成チュートリアルを参考にユニット編成してみてくださいね♪,请参考编成教学试着编成一只队伍吧♪,text
「ユニット編成」の画面で編成チュートリアルを見てみましょう♪,请在“队伍编成”界面查看编成教学吧♪,text
編成に悩んだら、おまかせ編成を使ってください♪最初のうちは同じジャンルのアピールを持っているサポートアイドルで揃えるのがおすすめです～,如果苦于编成，就请使用自动编成吧♪初期建议使用持有同一流派Appeal技能的Support偶像哦～,text
受け取ったサポートアイドルを編成してみましょう♪,试着用得到的Support偶像进行编成吧♪,text
アイドルは特訓をすることで、強力なスキルを覚えられるようになります～サポートアイドルならレベル上限も上昇しますよ♪,偶像通过特训，可以学到强力的技能～Support偶像还能提升等级上限呢♪,text
サポートアイドルのレベルを上げると、プロデュースを有利に進めることができます～トレーニング以外にも、営業も活用してくださいね,Support偶像等级提升后，将更有利于培育～除了训练之外，也请多多进行营业吧,text
受け取ったサポートアイドルをトレーニングしましょう♪レベルを上げるとアピール力が高くなります。サポートスキルの獲得・強化にもつながりますよ～,训练得到的Support偶像吧♪等级提升后Appeal能力也会提高。还能获得及强化支援技能～,text
最初の一歩、踏み出せましたね\nこれからはアイドルのみなさんと一緒に、\n少しずつでもしっかり進んでいってください,已经迈出了最初的一步呢\n今后就请与偶像们一起，\n与日俱进，砥砺前行吧,text
プロデュースユニットを編成したら、\nアイドルのプロデュースを始めてみましょうか～,Produce队伍编成完成的话，\n就试着开始培育偶像吧～,text
誕生させたフェスアイドルを編成してフェスに参加してみましょう♪,编成诞生的Fes偶像去参加Fes吧♪,text
フェスアイドルを誕生させるには最後までプロデュースをしてくださいね～♪,要诞生Fes偶像请将培育进行到最后吧～♪,text
W.I.N.G.編のプロデュースの振り返りでスキルを習得してみよう,试着在W.I.N.G.篇培育的回顾中学习技能吧,text
ライブスキルはオーディション攻略に欠かせませんスキルの有無で難易度が大きく変わるので、大事なステージの前には取り忘れがないか確認を〜,演出技能是攻略试镜不可或缺的，技能的有无将极大地影响攻略难度，所以在重要的试镜前千万不要忘记确认哦～,text
振り返りでスキルを習得してみましょう♪スキル習得に使うSPは「トークイベント」のお仕事で、たくさんもらう事ができますよ～♪,试着在回顾中学习技能吧♪学习技能所需的SP可通过参加“访谈节目”的工作，大量地获取哦～♪,text
受け取ったサポートアイドルをトレーニングしましょう♪レベルを上げるとアピール力が高くなります、サポートスキルの獲得・強化にもつながりますよ～,训练得到的Support偶像吧♪等级提升后Appeal能力也会提高，还能获得及强化支援技能～,text
誕生させたフェスアイドルを編成してフェスに参加してみましょう♪それぞれのポジションに合ったアイドルを編成するとフェスで高いスコアを残すことができますよ～,编成诞生的Fes偶像去参加Fes吧♪在各个位置编入合适的偶像的话就能在Fes中得到高分哦～,text
レベルの高いサポートアイドルを編成すれば、プロデュースを有利に進めることができますよ～,编入高等级的Support偶像的话，Produce会进行得更加顺利哦～,text
トレーニングで強化したサポートアイドルを編成してみましょう♪,编入经过强化训练后的Support偶像吧♪,text
レアリティが高く、特訓でレベル上限を上昇させたサポートアイドルは積極的にレベルを上げていきましょう♪,突破等级上限后的高稀有度Support偶像，也要积极的进行训练提高等级哦♪,text
サポートアイドルをもっとトレーニングしてみましょう♪『W.I.N.G.』優勝にはサポートアイドルのアピール力も重要になりますよ～,让我们再进一步训练Support偶像吧♪想要取得『W.I.N.G.』优胜，Support偶像的Appeal也是十分重要的～,text
