id,name,text,trans,__parsed_extra
4001073010450,灯織,復旧するとしたら、玄関のほうかな,如果要恢复照明的话，得去玄关那边吧,
4001073010460,真乃,うん、たぶん……,嗯，大概吧……,
4001073010470,めぐる,……っ\nね、探検みたいじゃない？,……\n感觉，就像在探险一样呢,
4001073010480,めぐる,……アー、アー\nこちら八宮隊員……どうぞ,……喂～喂～\n这里是队员八宫……请讲,
4001073010490,めぐる,目標は────２８３プロダクション玄関\nイルミネ探検隊、出動します……！,目标是────283Production玄关\nillumination STARS探险队，出发……！,
4001073010500,灯織,もう……,真是的……,
4001073010510,真乃,ふふっ,呼呼,
4001073010520,めぐる,真っ暗…………,黑咕隆咚…………,
4001073010530,めぐる,…………っ,…………,
4001073010540,灯織,めぐる……眩しい,巡……好晃眼,
4001073010550,めぐる,ごめーん,抱歉～,
4001073010560,灯織,遊んでると、電池なくなるよ,再玩下去，电池会耗光的,
4001073010570,めぐる,えへへっ\nなんだか事務所じゃないみたいだなって,诶嘿嘿\n感觉都不像是在事务所一样,
4001073010580,めぐる,いつもと違う顔,气氛和平时不太一样,
4001073010590,真乃,うん……,嗯……,
4001073010600,真乃,でも……あんまり怖くないかも……,但是……也不会觉得有多害怕……,
4001073010610,灯織,え？,诶？,
4001073010620,真乃,灯織ちゃんも、めぐるちゃんも\n近くにいるから……,因为灯织和巡\n都在我身边……,
4001073010630,灯織,…………,…………,
4001073010640,めぐる,わたしも……！\nふたりの声が聞こえるから、そんなに怖くないよ,我也是……！\n因为能听到你们两人的声音，所以没那么害怕,
4001073010650,灯織,……\nそうだね,……\n是啊,
4001073010660,灯織,そこにいるってわかると────,知道你们在身边就────,
4001073010670,めぐる,あっ！,啊！,
4001073010680,灯織,めぐる……！？,巡……！？,
4001073010690,めぐる,ごめん……\nスマホ落としちゃった,对不起……\n手机掉地上啦,
4001073010700,灯織,ほら、気をつけないと────,说了吧，得小心一些────,
4001073010710,めぐる,どこかなぁ……,总闸在哪里呢……,
4001073010711,一同,──────,──────,
0000000000000,プロデューサー,うわっ！？,哇！？,
4001073010712,一同,プロデューサー……！,制作人……！,
0000000000000,プロデューサー,ど、どうした……？,怎、怎么了……？,
4001073010713,一同,よかったぁ……,太好了……,
0000000000000,プロデューサー,みんな、まだ残ってたのか\nなんでこんな暗いところで……？,大家都还在啊\n为什么待在这么黑的地方……？,
4001073010720,めぐる,うん、ファンレター読んでたら\nいきなり停電しちゃって……,嗯，我们在读粉丝来信的时候\n突然就停电了……,
0000000000000,プロデューサー,そ、そうか……,是、是这样啊……,
0000000000000,プロデューサー,すまん、驚かせちゃったな,抱歉，吓到你们了,
4001073010730,灯織,いえ……\n驚きはしましたけど……,没有……\n虽然是吓了一跳……,
4001073010740,めぐる,プロデューサーの声、聞いたらホッとした！,听到制作人的声音，安心多了！,
4001073010750,真乃,うん……,嗯……,
0000000000000,プロデューサー,ははっ\nそっか……,哈哈\n这样啊……,
4001073010760,めぐる,……あっ,……啊，,
4001073010770,真乃,めぐるちゃん？,巡？,
4001073010780,めぐる,切れちゃった……\nスマホ,手机，没电了……,
4001073010790,灯織,遊ぶから,都是你玩太多啦,
4001073010800,真乃,ふふっ……,呼呼……,
0000000000000,白紙の文書,私たちは、光について語らなければならない,我们必须讲述，关于光的故事,
0000000000000,白紙の文書,役立たずの光について,关于无用的光,
info,game_event_communications/400107301.json,,,
译者,,,,
